sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	ml_tp	ml_fp	ml_fn	ml_sensitivity	ml_precision	ml_f1	ml_snv_tp	ml_snv_fp	ml_snv_fn	ml_snv_sensitivity	ml_indel_tp	ml_indel_fp	ml_indel_fn	ml_indel_sensitivity	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	349624	34913	9.986	61	0	61	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	61	205	0.0	0.0	0.0	1.0	0	61	170	0.0	0.0	0.0	1.0	0	61	375	0.0	0.0	0.0	0	61	205	0.0	0	61	170	0.0	36487	5147	368	16	0	2503.7	2024.1	2024.1	0.0	2035.1	109.8	109.7	99.8	0.0	109.7	2503.7	42.6	0
Sample_15ng_VAF_0p01pc	15ng	0.01	401271	57430	14.312	60	1	59	374	0	0.0027	0.0167	0.0	1.0	0.9833	0.9973	0.0046	1	59	204	0.0049	0.0167	0.0	1.0	0	60	170	0.0	0.0	0.0	1.0	1	59	374	0.0027	0.0167	0.0046	1	59	204	0.0049	0	60	170	0.0	36642	5832	395	16	0	2611.7	2142.1	2142.1	0.0	2152.9	109.8	109.7	99.8	0.0	109.7	2611.7	43.5	0
Sample_15ng_VAF_0p1pc	15ng	0.1	328319	40371	12.296	78	22	56	353	0	0.0587	0.2821	0.0	1.0	0.7179	0.9413	0.0971	18	60	187	0.0878	0.2308	0.0	1.0	4	74	166	0.0235	0.0513	0.0	1.0	22	56	353	0.0587	0.2821	0.0971	18	60	187	0.0878	4	74	166	0.0235	35327	4799	348	16	0	2464.7	2003.8	2003.8	0.0	2014.9	109.8	109.7	99.8	0.0	99.8	2464.7	41.1	0
Sample_15ng_VAF_0p25pc	15ng	0.25	413534	57581	13.924	178	110	68	265	0	0.2933	0.618	0.0	1.0	0.382	0.7067	0.3978	83	95	122	0.4049	0.4663	0.0	1.0	27	151	143	0.1588	0.1517	0.0	1.0	110	68	265	0.2933	0.618	0.3978	83	95	122	0.4049	27	151	143	0.1588	37968	6089	435	17	0	2615.1	2156.3	2156.3	2167.1	2167.3	109.8	109.7	99.7	99.8	99.7	2615.1	45.1	0
Sample_15ng_VAF_0p5pc	15ng	0.5	329077	36887	11.209	223	159	64	216	0	0.424	0.713	0.0	1.0	0.287	0.576	0.5318	115	108	90	0.561	0.5157	0.0	1.0	44	179	126	0.2588	0.1973	0.0	1.0	159	64	216	0.424	0.713	0.5318	115	108	90	0.561	44	179	126	0.2588	34795	5038	409	19	0	2478.0	2002.8	2002.8	0.0	2013.7	109.8	109.7	99.7	0.0	109.7	2478.0	40.8	0
Sample_15ng_VAF_0pc	15ng	0.0	331925	37110	11.18	67	1	66	374	0	0.0027	0.0149	0.0	1.0	0.9851	0.9973	0.0045	1	66	204	0.0049	0.0149	0.0	1.0	0	67	170	0.0	0.0	0.0	1.0	1	66	374	0.0027	0.0149	0.0045	1	66	204	0.0049	0	67	170	0.0	34364	4912	391	16	0	2505.4	2004.7	2004.7	0.0	2015.6	109.7	109.7	99.8	0.0	99.8	2505.4	40.3	0
Sample_15ng_VAF_1pc	15ng	1.0	352159	40715	11.562	277	215	62	160	0	0.5733	0.7762	0.0	1.0	0.2238	0.4267	0.6595	155	122	50	0.7561	0.5596	0.0	1.0	60	217	110	0.3529	0.2166	0.0	1.0	215	62	160	0.5733	0.7762	0.6595	155	122	50	0.7561	60	217	110	0.3529	36312	5290	404	18	0	2513.3	2037.7	2037.7	0.0	2048.6	109.8	109.7	99.7	0.0	109.7	2513.3	42.6	0
Sample_15ng_VAF_2pc	15ng	2.0	430786	66501	15.437	330	234	96	141	0	0.624	0.7091	0.0	1.0	0.2909	0.376	0.6638	167	163	38	0.8146	0.5061	0.0	1.0	67	263	103	0.3941	0.203	0.0	1.0	234	96	141	0.624	0.7091	0.6638	167	163	38	0.8146	67	263	103	0.3941	39089	6441	500	19	0	2705.6	2198.7	2198.7	0.0	2210.0	109.8	109.7	99.7	0.0	99.7	2705.6	46.7	0
Sample_30ng_VAF_0p001pc	30ng	0.001	372371	20615	5.536	75	2	73	373	0	0.0053	0.0267	0.0	1.0	0.9733	0.9947	0.0089	2	73	203	0.0098	0.0267	0.0	1.0	0	75	170	0.0	0.0	0.0	1.0	2	73	373	0.0053	0.0267	0.0089	2	73	203	0.0098	0	75	170	0.0	37318	5842	409	17	0	2497.3	2021.5	2021.5	0.0	2032.4	109.7	109.7	99.7	0.0	109.7	2497.3	44.2	0
Sample_30ng_VAF_0p01pc	30ng	0.01	523686	47035	8.982	75	2	73	373	0	0.0053	0.0267	0.0	1.0	0.9733	0.9947	0.0089	2	73	203	0.0098	0.0267	0.0	1.0	0	75	170	0.0	0.0	0.0	1.0	2	73	373	0.0053	0.0267	0.0089	2	73	203	0.0098	0	75	170	0.0	43527	8344	635	17	0	2770.2	2283.3	2283.3	0.0	2294.2	109.8	109.7	99.7	0.0	99.8	2770.2	53.2	0
